Range    : 0.200

Accuracy : 0.003

Control file  : gr32new

Spectrum file : 9md

Searching 1 1 0 near 2648.69151
10 3 8 2538.42076 100.0 3281.2739

9 1 8 2729.36142 99.6 3281.37544
10 1 10 2712.90086 95.6 3281.37369

9 1 8 2729.52409 60.4 3281.5381
10 3 8 2538.68292 100.1 3281.53606

10 1 10 2712.5541 99.8 3281.02694
11 3 8 2329.3819 85.3 3281.02831

10 1 10 2712.62575 81.1 3281.09858
9 3 6 2594.61181 97.4 3281.10051
11 3 8 2329.45354 99.7 3281.09995

10 1 10 2712.95555 0.7 3281.42839
10 3 8 2538.57463 99.9 3281.42777

11 1 10 2502.18307 100.0 3281.31056
10 3 8 2538.45638 100.0 3281.30952

9 3 6 2594.61181 97.4 3281.10051
11 3 8 2329.45354 99.7 3281.09995

10 3 8 2538.31215 100.1 3281.16529
11 3 8 2329.51754 100.1 3281.16394

Searching 10 2 9 near 3281.26111

9 2 8 2729.1246 99.8 3281.13865
9 4 6 2594.61181 97.4 3281.14129

9 2 8 2729.14963 99.6 3281.16368
10 2 8 2538.31215 100.1 3281.16497
11 4 8 2329.51754 100.1 3281.16591

9 2 8 2729.36142 99.6 3281.37547
10 4 6 2405.74619 100.1 3281.3782
10 0 10 2712.90086 95.6 3281.37369

9 2 8 2729.52409 60.4 3281.53814
10 2 8 2538.68292 100.1 3281.53574

10 2 8 2538.31215 100.1 3281.16497
11 4 8 2329.51754 100.1 3281.16591

10 2 8 2538.45638 100.0 3281.30919
11 2 10 2502.18307 100.0 3281.31056

10 2 8 2538.57463 99.9 3281.42745
10 0 10 2712.95555 0.7 3281.42839

9 4 6 2594.61181 97.4 3281.14129
11 4 8 2329.49494 100.1 3281.14331

9 4 6 2594.69859 95.8 3281.22808
10 4 6 2405.59607 19.5 3281.22809

10 4 6 2405.39256 100.0 3281.02458
10 0 10 2712.5541 99.8 3281.02694

10 4 6 2405.70452 100.1 3281.33654
10 0 10 2712.86225 92.6 3281.33509

10 4 6 2405.91745 1.3 3281.54946
10 0 10 2713.07553 99.6 3281.54837

11 4 8 2329.54834 97.5 3281.19671
10 0 10 2712.72517 97.5 3281.198

Searching 11 1 10 near 3398.17229

10 1 9 2737.0188 90.6 3397.91566
10 3 7 2583.45782 100.1 3397.91492

